instance,lp_objective
instance_01,-242513.692894388
instance_02,-373486.259566122
instance_03,242.7500849793
instance_04,490.390803334182
instance_05,442.957170917721
instance_06,37925.0036396599
instance_07,75471.7491249077
instance_08,38767.1906517415
instance_09,0.00197630946361728
instance_10,0.00197652072126351
instance_11,5.51764125077357
instance_12,25
instance_13,13.3424238910462
instance_14,370420.618705933
instance_15,547293.654207108
instance_16,0.999935543975811
instance_17,1.00002763643345
instance_18,0.99985729506255
instance_19,4.00005174808423
instance_20,4.00000219761428
instance_21,7.00000033649177
instance_22,0
instance_23,0
instance_24,0
instance_25,-46.9711614562818
instance_26,-117.781387209964
instance_27,-324.07170997809
instance_28,-0.000893111974411279
instance_29,3.61639910451057e-06
instance_30,-1.80239881654117e-05
instance_31,-2522.04507820102
instance_32,-3504.55029496849
instance_33,-10679.2577417544
instance_34,-0.0262421165006117
instance_35,-0.0500497341371329
instance_36,-0.102106057543551
instance_37,0
instance_38,0
instance_39,426.065530806455
instance_40,434.520219109927
instance_41,502.878524295336
instance_42,24704901.5706141
instance_43,23923483.3964629
instance_44,56340760.2456832
instance_45,0
instance_46,0
instance_47,0
instance_48,152134245.173978
instance_49,123722555.818484
instance_50,124658794.103745
